名称,价格,介绍
位于布朗斯通（ Brownstone ）的华丽公寓,￥655,独立房间
公园坡天堂(Haven in Park Slope),"￥1,076",1室1卫1床
温馨舒适的房源，后院非常好。给猫咪的爱好者,￥683,整套联排别墅
@ Brooklyn Birds Nest Peaceful ，客房,￥400,1室1卫1床
黄金公园斜坡客房（步行2分钟即可到达地铁站）,￥428,独立房间
Sonder The Industrialist |高级标准双人床客房,￥545,精品酒店客房
曼谷的宽敞卧室，毗邻METRO & Industry City,￥586,单间1卫1床
布鲁克林博物馆对面安静舒适的房间,￥366,独立房间
曼谷中世纪客房，毗邻地铁和IC,￥531,1室1卫1床
公园坡（ Park Slope ）的宝石,￥869,独立房间
有独立卫生间，可进入花园。,￥828,独立房间
公园斜坡阳光明媚的宽敞房间,￥683,1室1卫1床
地铁附近布朗斯通的独立春季客房,￥359,独立房间
布鲁克林可爱的主卧套房，毗邻Metro & IC,￥572,1室1卫1床
阳光明媚、安静的房间，毗邻展望公园,￥352,独立房间
布鲁克林黄金地段干净舒适的3卧室房源,"￥2,407",整套公寓型住宅
日落公园附近的独立房间,￥407,3室1卫4床
时尚独立房间，距离地铁与工业城仅几步之遥,￥448,1室2卫1床
历史悠久的布鲁克林令人惊叹的主卧,￥662,独立房间
布鲁克林理想公园坡单卧公寓,"￥1,655",1室1卫1床
公园斜坡客房距地铁和展望公园仅几步之遥,￥752,整套公寓型住宅
地标Bklyn Brownstone的独立客房,￥586,1室1卫2床
工业房，地铁旁边,￥483,独立房间
MACDOUGAL 4 -宽敞美丽的全新现代客房,￥331,1室1卫1床
带投影仪和花园景观的漂亮房间,￥414,独立房间
安静祥和的房间，带独立卫生间,￥586,1室2卫1床
公园坡阳光明媚的大型独立房间,￥621,独立房间
布鲁克林公园斜坡（ Park Slope Brooklyn ）可爱的单卧室出租房源,￥828,独立房间
花园层双卧室复式公寓，带阳光房,"￥1,104",1室1卫1床
明亮的单床花园公寓,"￥1,379",整套公寓型住宅
纽约现代化、设施齐全的客房！,￥483,2室1卫4床
公园坡棕石公园公寓(Park Slope Brownstone Garden Apartment),"￥1,552",整套公寓型住宅
Sunny Bedroom with Private Kitchenette and Desk,￥497,独立房间
戈瓦尼斯城市绿洲,￥586,1室1卫1床
在历史悠久的维多利亚式住宅中轻松休息,￥517,独立房间
公园坡全新复式花园公寓,"￥2,725",1室1卫1床
公园坡(Park Slope)图书馆(Lib,￥862,独立房间
现代明亮的私人入口距离肯尼迪机场附近的火车站3分钟路程,￥517,独立房间
现代绿洲l -景观公园，靠近B/Q地铁,￥566,1室1卫1床
宁静公园坡（ Serenity Park Slope ） -整套棕石公寓（ Brownstone Apt ）。,￥890,独立房间
独立、舒适、卧室,￥248,1室1卫1床
舒适裸露的砖块,￥517,整套公寓
Lafayette 4 -全新独立卧室,￥379,独立房间
舒适的独立房间。,￥517,1室2卫1床
纽约布鲁克林度假小屋,￥966,独立房间
布鲁克林的小贝莱尔,￥759,1室1卫1床
布鲁克林舒适安静的Prvt客房升级！,￥510,整套公寓型住宅
粉红玫瑰三,￥345,独立房间
布鲁克林湾岭独立卧室# 4,￥462,1室1卫1床
舒适的现代布鲁克林卧室,￥621,独立房间
卡罗尔花园单间公寓,￥469,1室1.5卫1床
现代全新3卧室/2浴室时尚布鲁克林,"￥2,414",独立房间
布鲁克林宽敞联排别墅独立房间,￥586,独立房间
可爱宽敞的1卧室公寓。,￥586,1室1卫1床
历史悠久的维多利亚式房源中的独立房间,￥483,独立房间
宽敞的标准双人床，带套房卫生间,￥641,1室1卫1床
位于富兰克林C附近宽敞的布鲁克林公寓的卧室,￥517,独立房间
MALCOLM 2 -卧室内美丽的独立卧室,￥379,独立房间
位于Park Slope的大型新花园公寓,"￥1,552",1室2卫1床
华丽的阁楼：曼哈顿屋顶景观，壁炉,"￥4,104",整套公寓型住宅
位于美丽的克林顿山的独立房间,￥310,2室1卫2床
Sonder The Industrialist |全套房间,￥731,整套公寓型住宅
带独立卫生间的房间，带凉亭的后院！,￥517,独立房间
杰斐逊的空气（飞机）,￥483,1室1卫2床
宽敞舒适的主卧室，风景优美,￥338,独立房间
双卧室公寓中的舒适独立房间,￥331,1室1卫1床
Sonder The Industrialist |高级标准双人床客房，带阳台,￥938,独立房间
